microorganism,ncbi_taxid,taxonomic_rank,disease,doid,qualitative_outcome,sample,method,pmid,doi,host
Faecalibacterium prausnitzii,853,species,Crohn's disease,8778,decreased,stool,16S rRNA sequencing,18936492,10.1073/pnas.0804812105,human
Faecalibacterium prausnitzii,853,species,ulcerative colitis,8577,decreased,stool,16S rRNA sequencing,23042570,10.1136/gutjnl-2012-303184,human
Faecalibacterium prausnitzii,853,species,colorectal cancer,1520,decreased,stool,16S rRNA sequencing,28006212,10.1136/gutjnl-2016-313189,human
Akkermansia muciniphila,239935,species,type 2 diabetes mellitus,9352,decreased,stool,qPCR,23725003,10.1073/pnas.1219451110,human
Akkermansia muciniphila,239935,species,obesity,9970,decreased,stool,qPCR,23023220,10.1080/19490976.2012.722889,human
Akkermansia muciniphila,239935,species,Parkinson's disease,14330,increased,stool,16S rRNA sequencing,28571381,10.1002/mds.27105,human
Bacteroides fragilis,817,species,Crohn's disease,8778,increased,colonic biopsy,16S rRNA sequencing,17050702,10.1136/gut.2006.099812,human
Bacteroides fragilis,817,species,inflammatory bowel disease,824,decreased,stool,whole-genome sequencing,24587631,10.1186/gb-2014-15-7-r89,human
Bifidobacterium longum,216816,species,ulcerative colitis,8577,decreased,stool,qPCR,15930511,10.1111/j.1572-0241.2005.41108.x,human
Bifidobacterium longum,216816,species,allergic rhinitis,4481,decreased,stool,culture,18241389,10.1093/ajcn/87.3.778,human
Bifidobacterium adolescentis,1680,species,Crohn's disease,8778,decreased,stool,FISH,17475023,10.1093/ibd/zlx013,human
Roseburia intestinalis,166486,species,Crohn's disease,8778,decreased,stool,16S rRNA sequencing,24618988,10.1136/gutjnl-2013-306541,human
Roseburia intestinalis,166486,species,type 2 diabetes mellitus,9352,decreased,stool,metagenomic shotgun,23023125,10.1038/nature11450,human
Eubacterium rectale,39491,species,Crohn's disease,8778,decreased,stool,16S rRNA sequencing,24336217,10.1186/gb-2012-13-9-r79,human
Eubacterium rectale,39491,species,obesity,9970,decreased,stool,16S rRNA sequencing,22158514,10.1126/science.1208344,human
Prevotella copri,165179,species,rheumatoid arthritis,7148,increased,stool,16S rRNA sequencing,24192039,10.7554/eLife.01202,human
