hmdb_id,compound_name,disease_name,kegg_pathway_id,uberon_id,inchi_key
HMDB0000062,L-Carnitine,Alzheimer disease,KEGG:hsa00260,UBERON:0001977,LHRJSNUWLLPCLX-YUMQZZPRSA-N
HMDB0000072,Choline,Alzheimer disease,KEGG:hsa00564,UBERON:0001977,OEYIOHPDSNJKLS-UHFFFAOYSA-N
HMDB0000094,Citric acid,Type 2 diabetes mellitus,KEGG:hsa00020,UBERON:0001977,KRKNYBCHXYNGOX-UHFFFAOYSA-N
HMDB0000115,Glutamic acid,Alzheimer disease,KEGG:hsa00250,UBERON:0001977,WHUUTDBJXJRKMK-UHFFFAOYSA-N
HMDB0000122,Glucose,Type 2 diabetes mellitus,KEGG:hsa00010,UBERON:0001977,GZCGUPFRVQAUEE-SLPGGIOYSA-N
HMDB0000148,L-Glutamine,Colorectal carcinoma,KEGG:hsa00250,UBERON:0001977,ZDXPYRJPNDTMRX-VKHMYHEASA-N
HMDB0000157,Histidine,Chronic kidney disease,KEGG:hsa00340,UBERON:0001977,HNDVDQJCIGZPNO-LURJTMIESA-N
HMDB0000159,Phenylalanine,Phenylketonuria,KEGG:hsa00360,UBERON:0001977,COLNVLDHVKWLRT-QMMMGPOBSA-N
HMDB0000168,Tryptophan,Colorectal carcinoma,KEGG:hsa00380,UBERON:0001977,QIVBCDIJIAJPQS-VIFPVBQESA-N
HMDB0000172,Tyrosine,Type 2 diabetes mellitus,KEGG:hsa00350,UBERON:0001977,OUYCCCASQSFEME-QMMMGPOBSA-N
HMDB0000190,Lactic acid,Colorectal carcinoma,KEGG:hsa00010,UBERON:0001977,JVTAAEKCZFNVCJ-UHFFFAOYSA-N
HMDB0000191,Leucine,Maple syrup urine disease,KEGG:hsa00280,UBERON:0001977,ROHFNLRQFUQHCH-YFKPBYRVSA-N
HMDB0000201,Oxalic acid,Hyperoxaluria,KEGG:hsa00630,UBERON:0001977,MUBZPKHOEPUJKR-UHFFFAOYSA-N
HMDB0000222,Pyroglutamic acid,Glutathione synthetase deficiency,KEGG:hsa00480,UBERON:0001977,ODHCTXKNWHHXJC-VKHMYHEASA-N
HMDB0000227,Taurine,Chronic kidney disease,KEGG:hsa00430,UBERON:0001977,XOAAWQZATWQOTB-UHFFFAOYSA-N
HMDB0000242,Malic acid,Type 2 diabetes mellitus,KEGG:hsa00020,UBERON:0001977,BJEPYKJPYRNKOW-UHFFFAOYSA-N
HMDB0000244,Ribose,Pentosuria,KEGG:hsa00030,UBERON:0001977,HMFHBZSHGGEWLO-SOOFDHNKSA-N
HMDB0000254,Succinic acid,Type 2 diabetes mellitus,KEGG:hsa00020,UBERON:0001977,KDYFGRWQOYBRFD-UHFFFAOYSA-N
HMDB0000263,Thymidine,Colorectal carcinoma,KEGG:hsa00240,UBERON:0001977,IQFYYKKMVGJFEH-XLPZGREQSA-N
HMDB0000280,Pantothenic acid,Pantothenate kinase-associated neurodegeneration,KEGG:hsa00770,UBERON:0001977,GHOKWGTUZJEAQD-ZETCQYMHSA-N
HMDB0000294,Homoserine,Homocystinuria,KEGG:hsa00260,UBERON:0001977,UKAUYVFTDYILAT-YFKPBYRVSA-N
HMDB0000641,Glutathione,Parkinson disease,KEGG:hsa00480,UBERON:0001977,RWSXRVCMGQZWBV-UHFFFAOYSA-N
HMDB0000687,L-Carnosine,Alzheimer disease,KEGG:hsa00340,UBERON:0001977,CQOVPNPJLQNMDC-ZETCQYMHSA-N
HMDB0000696,L-Aspartate,Alzheimer disease,KEGG:hsa00250,UBERON:0001977,CKLJMWTZIZMHMN-VKHMYHEASA-N
HMDB0000730,5-HIAA,Carcinoid tumor,KEGG:hsa00380,UBERON:0001977,DUUGKQCEGZLNOI-UHFFFAOYSA-N
HMDB0001032,Kynurenic acid,Colorectal carcinoma,KEGG:hsa00380,UBERON:0001977,HCZHHEIFKROPDY-UHFFFAOYSA-N
HMDB0001338,Hypoxanthine,Gout,KEGG:hsa00230,UBERON:0001977,FDGQSTZJBFJUBT-UHFFFAOYSA-N
HMDB0001413,Inosine,Gout,KEGG:hsa00230,UBERON:0001977,UGQMRVRMYYASKQ-KQYNXXCUSA-N
HMDB0001487,N-Acetylglutamic acid,N-acetylglutamate synthase deficiency,KEGG:hsa00220,UBERON:0001977,DTERQYGMJUNTSE-YFKPBYRVSA-N
HMDB0001859,Xanthurenic acid,Parkinson disease,KEGG:hsa00380,UBERON:0001977,FPIPGXGPPPQFEQ-UHFFFAOYSA-N
