ensembl_gene_id,gene_symbol,gsm,uberon_id,efo_id,log2_fold_change,adj_p_value
ENSG00000130203,APOE,GSM120350,UBERON:0002728,EFO:0000249,2.31,0.00012
ENSG00000130203,APOE,GSM120351,UBERON:0002728,EFO:0000249,2.15,0.00018
ENSG00000130203,APOE,GSM120352,UBERON:0002728,EFO:0000249,2.07,0.00031
ENSG00000142192,APP,GSM120350,UBERON:0002728,EFO:0000249,1.45,0.00210
ENSG00000142192,APP,GSM120351,UBERON:0002728,EFO:0000249,1.38,0.00280
ENSG00000188906,MAPT,GSM120350,UBERON:0002728,EFO:0000249,1.89,0.00040
ENSG00000188906,MAPT,GSM120351,UBERON:0002728,EFO:0000249,1.72,0.00065
ENSG00000175084,DES,GSM120350,UBERON:0002728,EFO:0000249,-1.56,0.00180
ENSG00000131747,TOP2A,GSM120350,UBERON:0002728,EFO:0000249,-1.92,0.00012
ENSG00000131747,TOP2A,GSM120351,UBERON:0002728,EFO:0000249,-1.85,0.00019
ENSG00000130203,APOE,GSM120357,UBERON:0001954,EFO:0000249,1.95,0.00023
ENSG00000130203,APOE,GSM120358,UBERON:0001954,EFO:0000249,1.88,0.00035
ENSG00000142192,APP,GSM120357,UBERON:0001954,EFO:0000249,1.21,0.00410
ENSG00000188906,MAPT,GSM120357,UBERON:0001954,EFO:0000249,1.62,0.00089
ENSG00000188906,MAPT,GSM120358,UBERON:0001954,EFO:0000249,1.55,0.00110
ENSG00000111678,CNTN2,GSM120357,UBERON:0001954,EFO:0000249,-1.33,0.00320
ENSG00000130203,APOE,GSM120364,UBERON:0002661,EFO:0000249,1.78,0.00041
ENSG00000142192,APP,GSM120364,UBERON:0002661,EFO:0000249,1.19,0.00520
ENSG00000188906,MAPT,GSM120364,UBERON:0002661,EFO:0000249,1.51,0.00130
ENSG00000131747,TOP2A,GSM120364,UBERON:0002661,EFO:0000249,-1.70,0.00028
ENSG00000130203,APOE,GSM120371,UBERON:0006101,EFO:0000249,2.10,0.00019
ENSG00000188906,MAPT,GSM120371,UBERON:0006101,EFO:0000249,1.44,0.00205
ENSG00000175084,DES,GSM120371,UBERON:0006101,EFO:0000249,-1.48,0.00240
ENSG00000130203,APOE,GSM120378,UBERON:0002771,EFO:0000249,1.92,0.00031
ENSG00000142192,APP,GSM120378,UBERON:0002771,EFO:0000249,1.25,0.00380
ENSG00000188906,MAPT,GSM120378,UBERON:0002771,EFO:0000249,1.67,0.00075
ENSG00000111678,CNTN2,GSM120378,UBERON:0002771,EFO:0000249,-1.28,0.00410
ENSG00000130203,APOE,GSM120385,UBERON:0002436,EFO:0000249,0.85,0.04500
ENSG00000188906,MAPT,GSM120385,UBERON:0002436,EFO:0000249,0.92,0.03800
ENSG00000175084,DES,GSM120385,UBERON:0002436,EFO:0000249,-0.89,0.04200
